page_number,listing_number,title,location,address,description,bedrooms,bathrooms,parking spaces,size,price,listing_link,agency
13,115131406,3 Bedroom House,Karen,"Bogani Rd Nairobi, Karen, Nairobi","For Rent: 3-Bedroom House for Rent in Karen with swimming pool and gym, plus DSQ. This",3,3,3,450 m²,KSh 170 000,https://www.property24.co.ke/3-bedroom-house-to-rent-in-karen-115131406,Diamond City Villas
13,116942215,1 Bedroom Apartment / Flat,Karen,"Comboni Rd Nairobi, Karen, Nairobi","1 Bedroom Apartment for Rent – Karen (Bogani Road)
Rent: KES 45,000 per month
This",1,1,,75 m²,KSh 45 000,https://www.property24.co.ke/1-bedroom-apartment-flat-to-rent-in-karen-116942215,
13,116936825,Commercial Property,Lavington,"James Gichuru Road Maziwa, Lavington, Nairobi",Located in the serene and prestigious neighborhood of Lavington is this exceptional office,,,,873 m²,KSh 940 000,https://www.property24.co.ke/commercial-property-to-rent-in-lavington-116936825,Trisums Investments Co. Ltd
13,116977939,4 Bedroom Townhouse,Runda,"Off Kiambu Rd, Runda, Nairobi","Nestled within a gated compound in a serene neighbourhood in New Runda ,this 4 bedroom",4,3,2,300 m²,KSh 265 000,https://www.property24.co.ke/4-bedroom-townhouse-to-rent-in-runda-116977939,Shieldon Relocators
13,116977877,3 Bedroom Apartment / Flat,Westlands,"Westlands Highridge, Westlands, Nairobi",A three bedroom all en-suite unfurnished apartment  located in Westlands in a serene,3,3.5,2,240 m²,KSh 170 000,https://www.property24.co.ke/3-bedroom-apartment-flat-to-rent-in-westlands-116977877,Shieldon Relocators
13,116936842,Commercial Property,Lavington,"James Gichuru Road Maziwa, Lavington, Nairobi",Located in the serene and prestigious neighborhood of Lavington is this exceptional office,,,,876 m²,KSh 980 000,https://www.property24.co.ke/commercial-property-to-rent-in-lavington-116936842,Trisums Investments Co. Ltd
13,116933227,4 Bedroom House,Karen,"Langata S Rd Nairobi, Karen, Nairobi","Elegant 4-Bedroom Villa To Let in Karen
Rent: KES 250,000 per month
This charming",4,4,2,300 m²,KSh 250 000,https://www.property24.co.ke/4-bedroom-house-to-rent-in-karen-116933227,
13,116993072,2 Bedroom Apartment / Flat,Westlands,"Westlands, Westlands, Nairobi","Indulge in upscale living with this stunning 2-bedroom, 2-bathroom fully furnished",2,2,2,100 m²,KSh 270 000,https://www.property24.co.ke/2-bedroom-apartment-flat-to-rent-in-westlands-116993072,Hervic Agencies
13,116949842,7 Bedroom House,Karen,"Karigacha Karen, Karen, Nairobi","To Let: Magnificent 7-Bedroom All-En-suite Villa in Karen
 Location: Karen | Rent: Ksh",7,7,,450 m²,KSh 250 000,https://www.property24.co.ke/7-bedroom-house-to-rent-in-karen-116949842,
13,116983289,4 Bedroom House,Runda,"Kiambu Rd Kiambu, Runda, Nairobi",A well-lit living room and family room. A neat open kitchen fitted with branded appliances.,4,5,4,300 m²,KSh 350 000,https://www.property24.co.ke/4-bedroom-house-to-rent-in-runda-116983289,
